ID,height,diameter,Vis
L311,1.14,,
L311,0.33,2,0.972499475
L311,0.64,4,0.915629908
L311,1.14,,
L311,0.35,3.5,0.833136807
L311,0.35,3.5,0.833136807
L311,1.42,,
L311,0.18,,
L311,0.65,,
L311,1.31,,
L311,0.61,,
L311,1.36,,
L311,0.41,,
L311,0.22,,
L318,1.33,2,0.919905115
L318,1.11,1.3,0.982028074
L318,,,
L318,1.19,1.2,0.968525629
L320,1.47,4,0.970133712
L320,0.62,5.2,0.848603572
L320,0.96,2,0.883997104
L320,0.94,,
L320,0.29,,
L320,0.87,,
L321,0.93,3.5,0.815518099
L323,0.69,3.5,0.997746075
L323,0.28,,
L323,0.42,,
L324,1.01,1.7,0.895830603
L324,1.85,,
L325,0.62,7.5,0.975134143
L325,1.12,6.4,0.891470749
L325,1.24,,
L326,0.68,4.5,0.715775164
L326,0,ground,0.902301799
L326,0.81,4,1
L326,1,,
L326,0.91,,
L326,0,,
L326,1.28,5,0.982388356
L326,1.44,,
L326,1.5,1.5,0.936002462
L326,1.41,,
L326,1.02,,
L326,1.5,,
L326,0.98,,
L326,0.87,,
L329,0.59,5,0.939452049
L329,1.05,5,0.952742688
L329,0.9,,
L329,0.82,,
L329,1.09,5.5,0.987781374
L329,1.18,4.5,0.970226682
L329,0,,
L331,1.24,1.5,0.736223454
L331,0.64,,
L334,0.13,0.8,0.832442575
L334,1.75,,
L341,0.81,,
L341,0.97,5,0.928405942
L341,0.69,,
L355,0.86,2,0.853681023
L355,0.4,1,0.937455325
L355,0.86,,
