ID,height,diameter,Vis
G146,3.14,,
G146,3.32,15,
G147,1.58,3,0.789711057
G147,1.83,4,0.775
G147,1.88,,
G147,2.02,8.5,0.931630782
G147,2.12,,
G147,1.21,2,0.878948903
G149,0.51,2,0.895659439
G149,3.91,4,0.91
G150,1.86,6,0.917738306
G155,1.56,5.4,0.972915943
G159,0.19,4.5,0.86466139
G159,0.93,,
G300,1.14,3,0.813140133
G300,1.64,3,0.325
G300,1.33,3.5,0.757255992
G300,2.3,,
G300,0.8,0.5,0.892941922
G300,0.89,,
G300,0.31,,
G301,1.48,3,0.783640699
G301,2.07,,
G301,0.97,3,0.671758248
G301,0.63,,
G301,1.33,5,0.869592803
G301,0.81,1.8,0.750180578
G301,0.97,4.5,0.825
G301,0,,
G301,2.04,,
G301,0.81,,
G301,0.41,,
G301,0.56,3.4,0.949655944
G301,1.74,,
G301,3,,
G304,0.66,2.3,0.929907401
G304,1.7,4.8,0.916744145
G304,0.95,3,0.879994143
G304,2.69,,
G304,1.09,,
G304,0.54,,
G304,1.33,,
G304,0.93,5,0.932494983
G304,1.15,6.5,0.904480111
G304,1.13,10,0.993372378
G304,0.76,,
G304,0.15,,
G304,3.46,,
G304,2.08,,
G305,3.07,4,0.961010435
G307,2.09,4,0.945649934
G307,1.66,,
G307,0.52,,
G307,2.64,,
G307,3.48,4,0.896363115
G307,0.7,,
G307,1,,
G307,0.43,3,0.753651325
G307,2.72,4,0.728636469
G307,0.63,,
G307,2.45,,
G307,1.1,3,0.921114577
G307,0.82,2.5,0.939541119
G307,1.85,,
G307,1.2,,
G307,1.4,,
G308,1.32,6.5,0.968179994
G308,1.65,,
G308,1.44,3,0.944753569
G308,1.56,,
G308,1.48,,
G308,1.6,,
G308,0.54,,
G308,1.23,,
G308,3.25,9,0.893990396
G311,2.22,4.5,0.915990343
G311,0.95,,
G311,2,3.5,0.946723056
G311,5.64,,
G311,1.73,,
G311,1.82,,
G311,1.51,,
G311,2.35,9,0.957367293
G311,1.28,8,0.974165011
G311,1.52,,
G312,1.47,10,0.976835807
G312,0.66,,
G312,0.58,,
G312,0.99,,
G312,0.57,1,0.614805839
G312,0.98,10,0.941439936
G313,1.03,11,0.928895801
G313,2.62,11,0.862694674
G313,0.64,10,0.829235777
G313,1.13,10,0.87851566
G313,2.5,,
G313,0.21,14.5,0.754143833
G313,1.23,4.8,0.983384015
G313,1.53,,
G313,1.54,,
G313,0.9,,
G313,1.69,,
G314,2.3,4,0.977111979
G314,1.55,,
G314,1.95,,
G314,3.27,3,0.990915311
G314,2.95,5.5,0.980992296
G314,2.57,5.5,0.993637194
G314,3.63,3,0.81
G314,3.62,,
G314,1.15,,
G314,2.85,,
G314,1.48,8.5,0.921493868
G314,2.72,,
G314,1.69,,
G314,1.65,,
G314,2.43,,
G314,0.79,,
G324,1.54,0.5,0.846810125
G324,2.17,2.5,0.728943084
G325,3.7,2.5,0.95
G325,3.8,,
G325,1.47,12.5,0.95330104
G325,1.77,3,0.970504055
G325,1.55,,
G326,1.21,9.5,0.719800231
G326,3.37,3,0.925
G329,3.48,4.5,0.905
G329,2.65,1,0.71225415
G329,0.68,,
G329,1.84,,
G329,0.74,,
G331,0.4,7,0.863204452
G331,2.75,12,0.629345588
G331,1.81,,
G331,2.57,,
G331,2.1,16,0.978763852
G331,2.96,,
G331,2.17,,
G331,1.93,,
G334,1.9,7,0.909882636
G337,1.31,8,0.525
G337,0.56,9.5,0.814529581
G337,1.27,,
G338,1.05,3,0.746194653
